company,edinet_code,press_url
トヨタ自動車,E02144,https://global.toyota/pages/global_toyota/ir/financial-results/2026_4q_presentation_2_jp.pdf
本田技研工業,E02166,https://global.honda/jp/investors/library/financialresult/main/00/teaserItems1/01117/linkList/01/link/FYE202603_4Q_financial_presentation_j_1.pdf
任天堂,E02367,https://www.nintendo.co.jp/ir/pdf/2026/260508_4.pdf
野村総合研究所,E05062,https://ir.nri.com/jp/ir/individual/main/05/teaserItems2/02/linkList/00/link/20250930_pre.pdf
日本電信電話,E04430,https://group.ntt/jp/ir/library/presentation/2025/260508.pdf
三菱商事,E02529,https://www.mitsubishicorp.com/jp/ja/ir/library/meetings/pdf/260501/20260501j.pdf
日立製作所,E01737,https://www.hitachi.com/content/dam/hitachi/global/ja_jp/press/files/2026/04/0427/2025_Anpre.pdf
キーエンス,E01967,https://www.keyence.co.jp/pdf/EarningsRelease_202604_ja.pdf
ファーストリテイリング,E03217,https://www.fastretailing.com/jp/ir/news/pdf/fr_ir_n20260409_2q_summary.pdf
ソフトバンク,E04426,https://www.softbank.jp/corp/ir/documents/presentations/fy2025/q4_earnings_summary/
